Year,Address,Species,Tree or Shrub,Quantity,Date,Latitude,Longitude,Neighbourhood Name,Neighbourhood Number,Geometry Point
2014,Guinevere Park 2013,White Spruce - Picea glauca,Tree,10,2014-08-16,53.501507,-113.67098,GLASTONBURY,4720,POINT (-113.67098 53.501507)
2015,Twin Brooks 2015,Western Chokecherry - Prunus virg. melanocarpa,Shrub,3,2015-06-11,53.442997,-113.54049,TWIN BROOKS,5511,POINT (-113.54049 53.442997)
2014,Government House Park 2014,Trembling Aspen - Populus tremuloides,Tree,29,2014-09-06,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2022,Klarvatten,Highbush Cranberry - Viburnum trilobum,Shrub,24,2022-09-22,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2022,Lymburn 2018,Gooseberry - Ribes sp.,Shrub,50,2022-06-29,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2018,Hermitage Park 2017,Snowberry - Symphoricarpos albus,Shrub,48,2018-09-29,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2014,Fulton Park 2014,Prickly Rose - Rosa acicularis,Shrub,15,2014-09-12,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2017,Terwillegar Park 2017,Wild Strawberry - Fragaria virginiana,Shrub,5,2017-08-23,53.48092,-113.61168,RIVER VALLEY TERWILLEGAR,5380,POINT (-113.61168 53.48092)
2018,Hermitage Park 2017,Jack Pine - Pinus banksiana,Tree,5,2018-08-09,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2015,Hermitage Park 2015,Twining honey suckle - Lonicera dioica,Shrub,40,2015-07-29,53.575386,-113.37195,RIVER VALLEY HERMITAGE,2630,POINT (-113.37195 53.575386)
2019,Gold Bar Park 2017,White Spruce - Picea glauca,Tree,48,2019-07-13,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2020,Richfield 2018,Snowberry - Symphoricarpos albus,Shrub,15,2020-10-14,53.46918,-113.46568,RICHFIELD,6600,POINT (-113.46568 53.46918)
2015,Hamptons Lake 2015,Bebb's Willow - Salix bebbiana,Shrub,24,2015-08-07,53.49335,-113.67667,THE HAMPTONS,4461,POINT (-113.67667 53.49335)
2022,Blackburn,Jack Pine - Pinus banksiana,Tree,48,2022-06-04,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2022,Sifton Ravine 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2022-07-22,53.58813,-113.39302,RIVER VALLEY HERMITAGE,2630,POINT (-113.39302 53.58813)
2019,Pylypow Pond 2017,Sandbar Willow - Salix exigua,Shrub,8,2019-09-26,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2021,Jackie Parker Park 2021,Lodgepole Pine - Pinus contorta latifolia,Tree,1,2021-08-11,53.483486,-113.41887,MILL WOODS GOLF COURSE,6500,POINT (-113.41887 53.483486)
2022,Lymburn 2018,Prickly Rose - Rosa acicularis,Shrub,7,2022-08-06,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2021,Blackmud Creek 2017,White Spruce - Picea glauca,Tree,12,2021-07-14,53.415615,-113.51594,BLACKMUD CREEK,5453,POINT (-113.51594 53.415615)
2013,Mill Creek 2013,Trembling Aspen - Populus tremuloides,Tree,52,2013-07-06,53.51579,-113.474884,MILL CREEK RAVINE SOUTH,6492,POINT (-113.474884 53.51579)
2013,Louise McKinney Park 2013,White Spruce - Picea glauca,Tree,100,2013-08-31,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2018,Oxford 2018,Pussy Willow - Salix discolor,Shrub,60,2018-09-08,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2022,Klarvatten,Bebb's Willow - Salix bebbiana,Shrub,15,2022-09-03,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2019,Brookside 2018,Wolfwillow - Elaeagnus commutata,Shrub,42,2019-06-12,53.483593,-113.56844,BROOKSIDE,5090,POINT (-113.56844 53.483593)
2017,Rundle Park 2017,Gooseberry - Ribes sp.,Shrub,36,2017-09-27,53.55726,-113.381996,RIVER VALLEY RUNDLE,2650,POINT (-113.381996 53.55726)
2015,Gold Bar Park 2015,Highbush Cranberry - Viburnum trilobum,Shrub,90,2015-06-13,53.555748,-113.40618,RIVER VALLEY GOLD BAR,6620,POINT (-113.40618 53.555748)
2021,Jackie Parker Recreation Area,Saskatoon Berry - Amelanchier alnifolia,Shrub,4,2021-05-28,53.483284,-113.41918,MILL WOODS GOLF COURSE,6500,POINT (-113.41918 53.483284)
2017,Hermitage Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2017-06-17,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2021,Blackmud Creek 2017,Pussy Willow - Salix discolor,Shrub,44,2021-09-11,53.415615,-113.51594,BLACKMUD CREEK,5453,POINT (-113.51594 53.415615)
2018,Pylypow Pond 2017,Sandbar Willow - Salix exigua,Shrub,15,2018-09-21,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2012,Millcreek - Silverberry,Wolfwillow - Elaeagnus commutata,Shrub,15,2012-06-05,53.46682,-113.37853,SILVER BERRY,6442,POINT (-113.37853 53.46682)
2018,Callingwood Park 2017,White Spruce - Picea glauca,Tree,100,2018-07-16,53.505497,-113.621666,CALLINGWOOD NORTH,4070,POINT (-113.621666 53.505497)
2018,Louise McKinney Park 2014,Jack Pine - Pinus banksiana,Tree,20,2018-09-07,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2019,Twin Brooks 2017,Red Elderberry - Sambucus racemosa,Shrub,20,2019-05-24,53.44044,-113.540054,TWIN BROOKS,5511,POINT (-113.540054 53.44044)
2022,Klarvatten,Paper Birch - Betula Papyrifera,Tree,15,2022-09-13,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2019,Fulton Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,6,2019-09-14,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2014,Gold Bar Park 2014,Highbush Cranberry - Viburnum trilobum,Shrub,75,2014-10-04,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2015,,Wolfwillow - Elaeagnus commutata,Shrub,25,2015-07-04,,,,,
2018,Richfield 2018,Raspberry - Rubus ideaus,Shrub,20,2018-06-01,53.46918,-113.46568,RICHFIELD,6600,POINT (-113.46568 53.46918)
2018,Fulton Park 2017,Red Osier Dogwood - Cornus sericea,Shrub,15,2018-10-05,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2013,Louise McKinney Park 2013,Pussy Willow - Salix discolor,Shrub,40,2013-09-18,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2014,Jackie Parker 2014,Buffaloberry - Shepherdia canadensis,Shrub,105,2014-09-20,53.486126,-113.42432,MILL WOODS GOLF COURSE,6500,POINT (-113.42432 53.486126)
2017,Mackinnon Ravine 2017,Western Chokecherry - Prunus virg. melanocarpa,Shrub,10,2017-08-26,53.53853,-113.56242,RIVER VALLEY CAPITOL HILL,3380,POINT (-113.56242 53.53853)
2019,Gold Bar Park 2017,Prickly Rose - Rosa acicularis,Shrub,100,2019-07-13,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2022,Blackburn,Native Larch - Larix laricina,Tree,15,2022-07-04,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2014,Government House Park 2014,Balsam Poplar - Populus balsamifera,Tree,2,2014-07-16,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2013,Victoria Park 2013,White Spruce - Picea glauca,Tree,30,2013-10-12,53.53882,-113.52499,RIVER VALLEY VICTORIA,1200,POINT (-113.52499 53.53882)
2018,Hermitage Park 2017,Prickly Rose - Rosa acicularis,Shrub,60,2018-07-31,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2019,Tipaskan,Lodgepole Pine - Pinus contorta latifolia,Tree,15,2019-08-16,53.461082,-113.4653,TIPASKAN,6750,POINT (-113.4653 53.461082)
2021,Hazeldean 2017,White Spruce - Picea glauca,Tree,24,2021-06-08,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2018,Hazeldean 2017,Red Osier Dogwood - Cornus sericea,Shrub,50,2018-07-10,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2014,Government House Park 2014,Trembling Aspen - Populus tremuloides,Tree,90,2014-06-17,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2019,Rundle Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,48,2019-09-17,53.55726,-113.381996,RIVER VALLEY RUNDLE,2650,POINT (-113.381996 53.55726)
2015,,Buffaloberry - Shepherdia canadensis,Shrub,100,2015-07-04,,,,,
2019,Westmount 2018,Prickly Rose - Rosa acicularis,Shrub,74,2019-08-01,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2014,Pylypow 2014,Siberian Larch - Larix sibirica,Tree,120,2014-06-20,53.497883,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497883)
2018,Pylypow Pond 2017,Sandbar Willow - Salix exigua,Shrub,34,2018-09-21,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2013,Edmonton Valley Zoo 2013,Pin Cherry - Prunus pennsylvanica,Shrub,90,2013-09-19,53.512035,-113.557846,RIVER VALLEY LAURIER,3382,POINT (-113.557846 53.512035)
2019,Tipaskan,Lodgepole Pine - Pinus contorta latifolia,Tree,70,2019-10-10,53.461082,-113.4653,TIPASKAN,6750,POINT (-113.4653 53.461082)
2022,Lymburn 2018,Trembling Aspen - Populus tremuloides,Tree,30,2022-08-31,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2015,Gold Bar Park 2015,Pin Cherry - Prunus pennsylvanica,Shrub,170,2015-05-20,53.555748,-113.40618,RIVER VALLEY GOLD BAR,6620,POINT (-113.40618 53.555748)
2015,Jackie Parker Park 2015,White Spruce - Picea glauca,Tree,310,2015-09-01,53.486164,-113.42417,MILL WOODS GOLF COURSE,6500,POINT (-113.42417 53.486164)
2014,Dunvegan Tree Stand 2014,Prickly Rose - Rosa acicularis,Shrub,45,2014-05-30,53.586926,-113.55546,ATHLONE,3010,POINT (-113.55546 53.586926)
2021,Cloverdale Hill 2018,Low Bilberry - Vaccinium myrtillus,Shrub,5,2021-08-28,53.53768,-113.46255,CLOVERDALE,6070,POINT (-113.46255 53.53768)
2014,Louise McKinney Park 2014,Pussy Willow - Salix discolor,Shrub,15,2014-09-16,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2015,Jackie Parker Park 2015,Sandbar Willow - Salix exigua,Shrub,10,2015-05-24,53.486164,-113.42417,MILL WOODS GOLF COURSE,6500,POINT (-113.42417 53.486164)
2021,Cloverdale Hill 2018,Western Chokecherry - Prunus virg. melanocarpa,Shrub,0,2021-08-26,53.53768,-113.46255,CLOVERDALE,6070,POINT (-113.46255 53.53768)
2013,Victoria Park 2013,Buffaloberry - Shepherdia canadensis,Shrub,25,2013-06-04,53.53882,-113.52499,RIVER VALLEY VICTORIA,1200,POINT (-113.52499 53.53882)
2015,Hermitage Park 2015,Red Osier Dogwood - Cornus sericea,Shrub,1,2015-08-20,53.575386,-113.37195,RIVER VALLEY HERMITAGE,2630,POINT (-113.37195 53.575386)
2017,Callingwood Park 2017,White Spruce - Picea glauca,Tree,100,2017-08-08,53.505497,-113.621666,CALLINGWOOD NORTH,4070,POINT (-113.621666 53.505497)
2018,Louise McKinney Park 2014,Snowberry - Symphoricarpos albus,Shrub,24,2018-05-29,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2019,Lymburn 2018,White Spruce - Picea glauca,Tree,24,2019-09-19,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2018,,Prickly Rose - Rosa acicularis,Shrub,250,2018-05-21,,,,,
2013,Louise McKinney Park 2013,Western Larch - Larix occidentalis,Tree,12,2013-06-01,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2018,Fulton Park 2017,Jack Pine - Pinus banksiana,Tree,0,2018-08-31,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2019,Forest Heights,Gooseberry - Ribes sp.,Shrub,25,2019-06-15,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2015,Mackinnon Ravine 2015,Raspberry - Rubus ideaus,Shrub,118,2015-08-15,53.53831,-113.55866,RIVER VALLEY CAPITOL HILL,3380,POINT (-113.55866 53.53831)
2014,Hamptons Lake 2014,Trembling Aspen - Populus tremuloides,Tree,2,2014-09-25,53.49352,-113.67655,THE HAMPTONS,4461,POINT (-113.67655 53.49352)
2019,Forest Heights,Trembling Aspen - Populus tremuloides,Tree,62,2019-09-25,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2019,Lymburn 2018,White Spruce - Picea glauca,Tree,20,2019-09-13,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2017,Mackinnon Ravine 2017,Pin Cherry - Prunus pennsylvanica,Shrub,98,2017-08-26,53.53853,-113.56242,RIVER VALLEY CAPITOL HILL,3380,POINT (-113.56242 53.53853)
2018,Richfield 2018,Snowberry - Symphoricarpos albus,Shrub,7,2018-10-13,53.46918,-113.46568,RICHFIELD,6600,POINT (-113.46568 53.46918)
2014,Guinevere Park 2013,Red Osier Dogwood - Cornus sericea,Shrub,45,2014-07-03,53.501507,-113.67098,GLASTONBURY,4720,POINT (-113.67098 53.501507)
2017,Graunke Park 2017,Prickly Rose - Rosa acicularis,Shrub,112,2017-09-26,53.464104,-113.419205,WEINLOS,6770,POINT (-113.419205 53.464104)
2015,,Western Larch - Larix occidentalis,Tree,15,2015-05-20,,,,,
2021,Hazeldean 2017,Balsam Poplar - Populus balsamifera,Tree,5,2021-07-31,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2022,Blackburn,Western Larch - Larix occidentalis,Tree,24,2022-08-31,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2015,Gold Bar Park 2015,Red Osier Dogwood - Cornus sericea,Shrub,17,2015-05-08,53.555748,-113.40618,RIVER VALLEY GOLD BAR,6620,POINT (-113.40618 53.555748)
2021,Westmount 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,0,2021-07-31,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2019,Lymburn 2018,Beaked Hazelnut - Corylus cornuta,Shrub,15,2019-05-29,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2013,Louise McKinney Park 2013,Wolfwillow - Elaeagnus commutata,Shrub,75,2013-06-01,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2022,Forest Heights,Gooseberry - Ribes sp.,Shrub,200,2022-08-27,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2019,Hermitage Park 2017,White Spruce - Picea glauca,Tree,162,2019-09-21,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2018,Hermitage Park 2017,Trembling Aspen - Populus tremuloides,Tree,24,2018-09-29,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2021,Cloverdale Hill 2018,Wild Strawberry - Fragaria virginiana,Shrub,23,2021-08-25,53.53768,-113.46255,CLOVERDALE,6070,POINT (-113.46255 53.53768)
2019,Lymburn 2018,Lodgepole Pine - Pinus contorta latifolia,Tree,16,2019-08-08,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2022,Lymburn 2018,Lodgepole Pine - Pinus contorta latifolia,Tree,44,2022-08-06,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2019,Forest Heights,Lodgepole Pine - Pinus contorta latifolia,Tree,48,2019-09-25,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2019,Gold Bar Park 2017,Red Osier Dogwood - Cornus sericea,Shrub,50,2019-09-25,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2013,Whitemud 2013,Red Osier Dogwood - Cornus sericea,Shrub,72,2013-09-20,53.481937,-113.465294,TWEDDLE PLACE,6760,POINT (-113.465294 53.481937)
2015,Jackie Parker Park 2015,Kinnikinick - Arctostaphylos uva-ursi,Shrub,54,2015-07-09,53.486164,-113.42417,MILL WOODS GOLF COURSE,6500,POINT (-113.42417 53.486164)
2015,Hazeldean 2015,Kinnikinick - Arctostaphylos uva-ursi,Shrub,72,2015-09-11,53.500607,-113.46875,MILL CREEK RAVINE SOUTH,6492,POINT (-113.46875 53.500607)
2022,Forest Heights,Gooseberry - Ribes sp.,Shrub,100,2022-09-29,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2018,Oxford 2018,Prickly Rose - Rosa acicularis,Shrub,35,2018-06-23,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2022,Lymburn 2018,Trembling Aspen - Populus tremuloides,Tree,20,2022-06-03,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2013,Victoria Park 2013,Wolfwillow - Elaeagnus commutata,Shrub,15,2013-09-04,53.53882,-113.52499,RIVER VALLEY VICTORIA,1200,POINT (-113.52499 53.53882)
2019,Twin Brooks 2017,Highbush Cranberry - Viburnum trilobum,Shrub,10,2019-05-24,53.44044,-113.540054,TWIN BROOKS,5511,POINT (-113.540054 53.44044)
2021,Rundle Park 2021,Snowberry - Symphoricarpos albus,Shrub,50,2021-09-22,53.56186,-113.38344,RIVER VALLEY RUNDLE,2650,POINT (-113.38344 53.56186)
2019,Forest Heights,Western Chokecherry - Prunus virg. melanocarpa,Shrub,10,2019-05-25,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2022,Sir Wilfrid Laurier Park 2014,White Spruce - Picea glauca,Tree,48,2022-08-17,53.51,-113.55109,RIVER VALLEY LAURIER,3382,POINT (-113.55109 53.51)
2014,Gold Bar Park 2014,White Spruce - Picea glauca,Tree,60,2014-10-04,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2013,Louise McKinney Park 2013,Buffaloberry - Shepherdia canadensis,Shrub,200,2013-08-31,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2022,Lymburn 2018,Wolfwillow - Elaeagnus commutata,Shrub,0,2022-07-08,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2017,Hermitage Park 2017,Kinnikinick - Arctostaphylos uva-ursi,Shrub,33,2017-05-30,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2022,Klarvatten,Native Larch - Larix laricina,Tree,25,2022-09-13,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2019,Lymburn 2018,Jack Pine - Pinus banksiana,Tree,20,2019-09-18,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2022,Blackburn,White Spruce - Picea glauca,Tree,72,2022-06-04,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2022,Terrace Heights,Balsam Poplar - Populus balsamifera,Tree,52,2022-07-13,53.5424,-113.431404,RIVER VALLEY GOLD BAR,6620,POINT (-113.431404 53.5424)
2019,Lymburn 2018,Lodgepole Pine - Pinus contorta latifolia,Tree,23,2019-08-10,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2014,Victoria Park 2014,Kinnikinick - Arctostaphylos uva-ursi,Shrub,25,2014-08-08,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2015,Hermitage Park 2015,,,10,2015-08-13,53.575386,-113.37195,RIVER VALLEY HERMITAGE,2630,POINT (-113.37195 53.575386)
2019,Gold Bar Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,24,2019-07-16,53.556683,-113.40703,RIVER VALLEY GOLD BAR,6620,POINT (-113.40703 53.556683)
2018,Fulton Park 2017,Balsam Poplar - Populus balsamifera,Tree,29,2018-08-29,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2014,Guinevere Park 2013,Bebb's Willow - Salix bebbiana,Shrub,90,2014-09-20,53.501507,-113.67098,GLASTONBURY,4720,POINT (-113.67098 53.501507)
